SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1386.70,1418.35,1386.70,1392.15,1392.15,1386.55,514,5740,8051624.00,
500003,AEGIS LOGIS ,A ,Q,270.00,274.60,268.70,271.95,272.00,269.65,434,18205,4953004.00,
500008,AMAR RAJA BA,A ,Q,774.00,812.00,774.00,807.20,807.20,775.00,1529,43473,34689000.00,
500009,A.SARABHAI  ,ST,Q,9.90,10.35,9.80,10.30,10.00,9.86,36,30630,303377.00,
500010,HDFC        ,A ,Q,1735.00,1735.00,1705.05,1709.70,1709.70,1718.10,3488,90386,154930183.00,
500012,ANDHRA PETRO,ST,Q,52.80,54.00,52.00,53.05,52.80,52.35,136,50150,2676140.00,
500013,ANSAL INFRAS,B ,Q,21.40,21.80,21.25,21.60,21.75,21.40,90,107886,2337066.00,
500014,APPLE FINANC,X ,Q,3.52,3.59,3.36,3.40,3.40,3.52,35,17518,59710.00,
500020,BOM DYEING  ,A ,Q,283.90,297.70,282.65,294.05,294.05,280.80,24518,2607924,759802568.00,
500023,ASIANHOTNR  ,B ,Q,164.45,167.95,161.45,167.95,167.95,164.65,37,4144,682394.00,
500024,ASSAMCO     ,T ,Q,5.21,5.62,5.21,5.62,5.62,5.36,126,115405,633530.00,
500027,ATUL LTD.   ,A ,Q,2596.95,2631.00,2555.00,2620.70,2620.70,2569.30,278,1756,4560378.00,
500028,ATV PROJECTS,XT,Q,9.70,10.00,9.69,9.99,9.99,10.19,52,18330,178784.00,
500029,AUTOLITE(I) ,B ,Q,70.20,71.45,68.15,70.05,69.70,69.40,58,7355,511263.00,
500031,BAJAJ ELECT.,A ,Q,484.00,488.00,475.25,477.30,477.30,476.85,800,29740,14355586.00,
500032,BAJAJHIND   ,B ,Q,14.05,14.75,14.05,14.50,14.50,14.00,1147,1136698,16436785.00,
500033,FORCE MOTR  ,B ,Q,3120.00,3345.00,3109.00,3302.20,3302.20,3101.55,12275,128906,420570535.00,
500034,BAJFINANCE  ,A ,Q,1738.00,1770.40,1738.00,1756.30,1754.05,1754.35,1496,28612,50150752.00,
500038,BALRAM.CHINI,A ,Q,142.05,149.50,142.05,148.15,148.15,141.75,2331,291556,43021938.00,
500039,BANCO PROD. ,B ,Q,244.90,255.00,243.15,252.65,252.90,242.90,619,32690,8159940.00,
500040,CENTURY TEXT,A ,Q,1341.00,1358.70,1333.95,1356.05,1355.00,1331.70,1466,53305,71961255.00,
500041,BANNARI AMAN,B ,Q,2185.00,2249.30,2185.00,2223.40,2216.00,2156.05,12,40,88424.00,
500042,BASF INDIA  ,B ,Q,2009.90,2159.90,1975.65,2111.80,2111.80,1991.45,838,4880,10227361.00,
500043,BATA INDIA  ,A ,Q,730.10,737.95,729.00,734.00,734.00,729.10,533,20837,15287633.00,
500048,BEML LTD    ,A ,Q,1515.00,1595.90,1511.15,1587.30,1587.30,1505.15,2752,65603,102481631.00,
